line,parent,turnlabel,Session,Condition,user,content,len,Offtask,Cheating,AT,Reas,Trans,Neg,Het
245,244,str245,C,ind,s034       ,watch the video,0,no,no,no,no,no,a2,m
246,245,str246,C,ind,Tutor,Is everyone back?,0,no,no,no,no,no,k2,na
247,246,str247,C,ind,s041       ,"we have to do all the prediction , thats what NACHO said",0,no,no,no,no,no,a2,he
248,247,str248,C,ind,s027       ,"ok, but where do i click to watch it?",0,no,no,no,no,no,o,na
249,248,str249,C,ind,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,m
250,249,str250,C,ind,s027       ,nevermind i found it.,0,no,no,no,no,no,a1,m
251,250,str251,C,ind,s034       ,#3 the water will move into the starch because starch absorbs it,0,no,pre,no,reas,ex,k1,m
252,251,str252,C,ind,Tutor,"S027, now would be a good time to ask S041 to build on what S034 is saying.",0,no,no,no,no,no,k1,he
253,252,str253,C,ind,s027       ,{s034} are these #'s all of the predictions or explanations?,0,no,no,no,no,no,k2,na
254,253,str254,C,ind,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
255,254,str255,C,ind,s027       ,"#3, is that the prediction?",0,no,no,no,no,no,k2,na
256,255,str256,C,ind,Tutor,Lets spend the rest of the time we have discussing your observations from all the three conditions.,0,no,no,no,no,no,a2,he
257,256,str257,C,ind,Tutor,Discuss explanations of what you observed in each condition and make sure you fill in your explanations on your worksheets.,0,no,no,no,no,no,a2,m
258,257,str258,C,ind,s041       ,what is explanation for #2,0,no,no,at,no,no,k2,na
259,258,str259,C,ind,s034       ,"its both, the first part is the prediction the second part is the explanation",0,no,pre,no,no,no,k1,m
260,259,str260,C,ind,Tutor,"@S027, can you ask S041 to build on what S034 is saying.",0,no,no,no,no,no,a2,he
261,260,str261,C,ind,s034       ,i want to shoot myself in the foot -.-,0,pre,no,no,no,no,o,m
262,261,str262,C,ind,s027       ,this is so stupid.,0,pre,no,no,no,no,o,na
263,262,str263,C,ind,s034       ,this would be so much easier just in a group,0,pre,no,no,no,no,o,na
264,263,str264,C,ind,s027       ,yep yep,0,pre,no,no,no,no,o,na
265,264,str265,C,ind,Tutor,"@S027, can you ask S041 to build on what S034 is saying.",0,no,no,no,no,no,a2,he
266,265,str266,C,ind,s041       ,you dont have the balls to do it,0,no,no,no,no,no,o,m
267,266,str267,C,ind,s027       ,do what?,0,no,no,no,no,no,o,na
268,267,str268,C,ind,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,na
269,268,str269,C,ind,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,na
270,269,str270,C,ind,s027       ,our tutor left us!!!,0,post,no,no,no,no,o,m
271,270,str271,C,ind,s027       ,she is a baad tutor!!!,0,post,no,no,no,no,o,m
272,271,str272,C,ind,s034       ,im pretty sure its a he,0,post,no,no,no,no,o,he
273,272,str273,C,ind,s027       ,really? haah! oh well. idc. he/she/it,0,post,no,no,no,no,o,he
274,273,str274,C,ind,s027       ,i ddnt even watch the whole video,0,no,no,no,no,no,k1,m
275,274,str275,C,ind,s034       ,i watched most of it,0,no,no,no,no,no,k1,m
276,275,str276,C,ind,s027       ,do you know what happened?,0,no,no,no,no,no,k2,na
277,276,str277,C,ind,s034       ,i just wrote the observations,0,no,no,no,no,no,k1,m
278,277,str278,C,ind,s027       ,oh. what was it after 1 hour for condition A?,0,no,post,no,no,no,k2,na
279,278,str279,C,ind,s027       ,"{s041}, did you get everything so far?",0,no,post,no,no,no,k2,na
280,279,str280,C,ind,s034       ,condition a: 620 glucose inside; 635 glucose inside; 630 glucose inside; explanation: the membrane will hold stuff for a certain amount of time,0,no,post,no,no,no,k1,m
281,280,str281,C,ind,s034       ,condition b: 540 glucose outside; 525 glucose outside; 525 glucose outside; explanation: the glucose was not being absorbed by the water,0,no,post,no,no,no,k1,m
282,281,str282,C,ind,s034       ,i think .,0,no,post,no,no,no,o,na
283,282,str283,C,ind,s027       ,"k, i'll fast forward and try to find the last one, when im done writing the condition b.",0,no,post,no,no,no,a1,m
284,283,str284,C,ind,s041       ,you mean i know !,0,no,post,no,no,no,o,na
285,284,str285,C,ind,s034       ,"yea, sure i do, whatever. hahahahahha",0,no,post,no,no,no,o,na
286,285,str286,C,ind,s041       ,lol what is C,0,no,post,no,no,no,k2,na
287,286,str287,C,ind,s034       ,i dont even think there was one,0,no,post,no,no,no,o,he
288,287,str288,C,ind,s027       ,i sd i'd try to find it if i could.,0,no,post,no,no,no,o,he
289,288,str289,C,ind,s041       ,there is & ok,0,no,post,no,no,no,o,m
290,289,str290,C,ind,s027       ,aaah there is a quiz!!!!!!!!!!!!!,0,post,no,no,no,no,k1,m
291,290,str291,C,ind,s027       ,im gonna fail!!!!!!!!!!!!!!,0,post,no,no,no,no,k1,m
292,291,str292,C,ind,s041       ,stfu !,0,post,no,no,no,no,o,na
293,292,str293,C,ind,s034       ,HAPPY BIRTHDAAAY {s041} :D :D :D :D :D :D :D :D :D,0,post,no,no,no,no,o,na
294,293,str294,C,ind,s041       ,lol thsnks,0,post,no,no,no,no,o,na
295,294,str295,C,ind,s027       ,is it ur birthday?,0,post,no,no,no,no,k2,na
296,295,str296,C,ind,s027       ,bye bye guys.,0,no,no,no,no,no,o,na
297,-1,str297,C,ns,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,a2,m
298,297,str298,C,ns,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,he
299,298,str299,C,ns,Tutor,"s035,s042,s028... i didn't get your names yet.",0,no,no,no,no,no,k1,m
300,299,str300,C,ns,Tutor,"Hi S035 you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
301,300,str301,C,ns,Tutor,"S042, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
302,301,str302,C,ns,Tutor,"Ok... So the Explainer is S028. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",0,no,no,no,no,no,a2,he
303,302,str303,C,ns,Tutor,"You should probably all mark an X opposite your role in the book, so you won't forget.",0,no,no,no,no,no,a2,he
304,303,str304,C,ns,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for.,0,no,no,no,no,no,a2,he
305,304,str305,C,ns,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
306,305,str306,C,ns,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
307,306,str307,C,ns,s035       ,"hi, my name is {s035}",0,pre,no,no,no,no,k1,m
308,307,str308,C,ns,s042       ,W ho's 35?,0,pre,no,no,no,no,k2,na
309,308,str309,C,ns,s042       ,O h this is {s042},0,pre,no,no,no,no,k1,m
310,309,str310,C,ns,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,reas,ex,k1,m
311,310,str311,C,ns,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
312,311,str312,C,ns,s042       ,Yeah. I think that water will try to even out with glucose for the first one,0,no,no,no,reas,ex,k1,he
313,312,str313,C,ns,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,m
314,313,str314,C,ns,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,a2,m
315,314,str315,C,ns,s035       ,ook....so we got the parts.. who else is in the group...and i have no clue what we are doing.... do we just talk about what we think is going to happen to the egg,0,no,no,no,no,no,k2,he
316,315,str316,C,ns,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
317,316,str317,C,ns,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
318,317,str318,C,ns,s035       ,oo hey im {s035}!!,0,pre,no,no,no,no,k1,m
319,318,str319,C,ns,s035       ,ook group what do we pedict,0,no,no,at,no,no,k2,na
320,319,str320,C,ns,s042       ,I think that the water will seperate and travel to glucose. Because water has a lot of molecules and glucose is just sugar. So it would then balance out. What do you think?,0,no,no,at,reas,tr,k1,he
321,320,str321,C,ns,s035       ,ook this is what i think...if we put the cell model in the water it will grow like the egg did....but if its in teh sugar it will shrink,0,no,no,no,reas,ex,k1,he
322,321,str322,C,ns,s042       ,Oh I get it. But wouldn't it still expand and try to balance out?,0,no,no,no,reas,tr,k2,he
323,322,str323,C,ns,s028       ,i am so confused,0,no,no,no,no,no,o,na
324,323,str324,C,ns,s035       ,im with {s028} on this one....,0,no,no,no,no,no,o,na
325,324,str325,C,ns,s042       ,It's like Osmosis I think. If it's water mixed in with sugar like liquid or another solvent it will try to balance out. Like salt. Does that help?,0,no,no,no,reas,tr,k1,he
326,325,str326,C,ns,s028       ,"thankyou! i have nothing written on my paper, i'm a bit stupid",0,no,no,no,no,no,o,m
327,326,str327,C,ns,Tutor,Back from watching the video?,0,no,no,no,no,no,k2,na
328,327,str328,C,ns,s028       ,"no alex, we arent! jeeze!",0,no,no,no,no,no,k1,hc
329,328,str329,C,ns,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,m
330,329,str330,C,ns,s028       ,"alright, i am still on A, for the first box thing",0,no,no,no,no,no,a1,he
331,330,str331,C,ns,s035       ,haha its cool and {s042} that is a good idea.... i think we mite have to watch the movie,0,no,no,no,no,no,a1,he
332,331,str332,C,ns,s028       ,what do you guys think?,0,no,no,at,no,no,o,na
333,332,str333,C,ns,s035       ,we need to watch the movie maybe??,0,no,no,no,no,no,o,he
334,333,str334,C,ns,s028       ,"yeah, i think we should",0,no,no,no,no,no,a1,he
335,334,str335,C,ns,s042       ,I think that it might balance out and that {s035}'s right with the shrinking of the water.,0,no,no,no,reas,tr,k1,he
336,335,str336,C,ns,s042       ,Yeah we should,0,no,no,no,no,no,o,hc
337,336,str337,C,ns,s035       ,ook were do we go lol,0,no,no,no,no,no,k2,na
338,337,str338,C,ns,s028       ,down at the bottom of the screen,0,no,no,no,no,no,k1,m
339,338,str339,C,ns,s035       ,thnx found it,0,no,no,no,no,no,o,m
340,339,str340,C,ns,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
341,340,str341,C,ns,s042       ,So far it's like consuing and growing,0,no,no,no,no,no,k1,m
342,341,str342,C,ns,Tutor,Lets spend the rest of the time we have discussing your observations from all the three conditions.,0,no,no,no,no,no,a1,he
343,342,str343,C,ns,Tutor,Discuss explanations of what you observed in each condition and make sure you fill in your explanations on your worksheets.,0,no,no,no,no,no,a2,hc
344,343,str344,C,ns,s028       ,"i think that for C, the predicted change would be that the water will move into the starch",0,no,no,no,reas,ex,k1,he
345,344,str345,C,ns,s042       ,The glucose weighed it down and then disperssed,0,no,no,no,reas,tr,k1,m
346,345,str346,C,ns,s042       ,I agree with s028,0,no,no,no,no,no,o,na
347,346,str347,C,ns,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,na
348,347,str348,C,ns,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,na
349,348,str349,C,ns,s028       ,wooo now all i need is B! and the entire second box haha,0,no,no,no,no,no,k1,he
350,349,str350,C,ns,s035       ,i still hav eno clue what to write in all the boxes :(,0,no,no,no,no,no,k2,he
351,350,str351,C,ns,s042       ,"Okay, I think that when the distilled water is put into the glucose the glucose will get lighter and then well I don't know what then.....",0,no,no,no,reas,ex,k1,he
352,351,str352,C,ns,s028       ,"wouldnt for B, the water will once again shrink because its mixing water with glucose again?",0,no,no,no,reas,tr,k2,he
353,352,str353,C,ns,s028       ,"oh ok, or your prediction haha",0,no,no,no,no,no,o,he
354,353,str354,C,ns,s042       ,"Oh I think it would, but it might expand at first then shrink",0,no,no,no,reas,tr,k1,he
355,354,str355,C,ns,s028       ,that makes sense,0,no,no,no,no,no,k1,he
356,355,str356,C,ns,s028       ,"wouldnt the explanation for C be that starch absorbs water, and thats why the water will move into it?",0,no,no,no,reas,ex,k2,he
357,356,str357,C,ns,s042       ,the explanation I think would be that since when h20 is put into another solvent it expands its molecules and then maybe it would shrink from the glucose,0,no,no,no,reas,ex,k1,he
358,357,str358,C,ns,s042       ,Yeah thats what shoud happen for the starch box,0,no,no,no,no,no,k1,hc
359,358,str359,C,ns,s035       ,i think we ahuld all write what we think an dthen talk about it,0,no,no,no,no,no,a1,he
360,359,str360,C,ns,s028       ,mkkk. now all we need is the explanation for box A,0,no,no,no,no,no,k1,m
361,360,str361,C,ns,s042       ,Box A I think would be that there's a lot of water and glucose is sugar so it would shrink and like balance,0,no,no,no,reas,ex,k1,he
362,361,str362,C,ns,s035       ,are we on the first set of boxes of the seconf??,0,no,no,no,no,no,k2,na
363,362,str363,C,ns,s028       ,"ok, now we have to watch that stupid video, but didnt he tell us to X out of it?",0,no,no,no,no,no,k2,he
364,363,str364,C,ns,s042       ,I'm restarting the video the 2nd box is confusing....,0,no,no,no,no,no,a1,m
365,364,str365,C,ns,s028       ,mk me too,0,no,no,no,no,no,o,he
366,365,str366,C,ns,s035       ,ok thnx...for the second st of boxes for the observations change i put all the weights i saw in the movie,0,no,no,no,no,no,a1,m
367,366,str367,C,ns,s028       ,"we didnt even take the quiz yet, and i failed hahhaha",0,no,no,no,no,no,k1,m
368,367,str368,C,ns,s035       ,oo great a quiz,0,no,no,no,no,no,o,na
369,368,str369,C,ns,s042       ,I don't want a quiz,0,no,no,no,no,no,o,na
370,369,str370,C,ns,s042       ,I think the glocos will get heavier,0,no,no,no,no,no,k2,he
371,370,str371,C,ns,s028       ,bye guys!,0,no,no,no,no,no,o,na
372,371,str372,C,ns,s042       ,bye bye,0,no,no,no,no,no,o,na
373,-1,str373,C,ns,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,a2,m
374,373,str374,C,ns,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,he
375,374,str375,C,ns,Tutor,"s029,s036,s043... i didn't get your names yet.",0,no,no,no,no,no,k1,m
376,375,str376,C,ns,Tutor,"Hi S029 you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
377,376,str377,C,ns,Tutor,"S036, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
378,377,str378,C,ns,Tutor,"Ok... So the Explainer is S043. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",0,no,no,no,no,no,a2,he
379,378,str379,C,ns,Tutor,"You should probably all mark an X opposite your role in the book, so you won't forget.",0,no,no,no,no,no,a2,he
380,379,str380,C,ns,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for.,0,no,no,no,no,no,a2,he
381,380,str381,C,ns,s036       ,this is {s036} :),0,no,no,no,no,no,k1,m
382,381,str382,C,ns,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
383,382,str383,C,ns,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
384,383,str384,C,ns,s036       ,HELLO!? who is there,0,pre,no,no,no,no,o,na
385,384,str385,C,ns,s029       ,HELLO?,0,pre,no,no,no,no,o,na
386,385,str386,C,ns,s043       ,who is my partner,0,pre,no,no,no,no,k2,na
387,386,str387,C,ns,s036       ,your mom... {s036} :),0,pre,no,no,no,no,k1,m
388,387,str388,C,ns,s043       ,who is so29,0,pre,no,no,no,no,k2,na
389,388,str389,C,ns,s029       ,{s029[pet name form]},0,pre,no,no,no,no,k1,m
390,389,str390,C,ns,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,reas,ex,k1,m
391,390,str391,C,ns,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
392,391,str392,C,ns,s029       ,what do we discuss,0,no,no,no,no,no,k2,na
393,392,str393,C,ns,s036       ,who are you?^,0,pre,no,no,no,no,k2,na
394,393,str394,C,ns,s043       ,who is dis wats a {s029[pet name form]},0,pre,no,no,no,no,k2,na
395,394,str395,C,ns,s043       ,dis is {s043},0,pre,no,no,no,no,k1,m
396,395,str396,C,ns,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,m
397,396,str397,C,ns,s036       ,who is 29,0,pre,no,no,no,no,k2,na
398,397,str398,C,ns,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,k1,m
399,398,str399,C,ns,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
400,399,str400,C,ns,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
401,400,str401,C,ns,s036       ,{s043} wat are we doing?,0,no,no,no,no,no,k2,na
402,401,str402,C,ns,s029       ,{s029}!,0,no,no,no,no,no,o,na
403,402,str403,C,ns,s036       ,BOYFRIEND! :),0,pre,no,no,no,no,o,na
404,403,str404,C,ns,s029       ,haha hey boyfriend!,0,pre,no,no,no,no,o,na
405,404,str405,C,ns,s029       ,WHAT ARE WE SUPPOSED TO WRITE,0,no,no,no,no,no,k2,na
406,405,str406,C,ns,s036       ,ok wat r we doin?,0,no,no,no,no,no,k2,na
407,406,str407,C,ns,s043       ,i think the water will travel into the tube with the gluecose because of osmosis,0,no,no,no,reas,ex,k1,he
408,407,str408,C,ns,s029       ,for A?,0,no,no,no,no,no,o,na
409,408,str409,C,ns,s036       ,a? i thought it was #1?,0,no,no,no,no,no,o,he
410,409,str410,C,ns,s043       ,water will mix with the gluecose to try and balance out the water molecules,0,no,no,no,reas,ex,k1,m
411,410,str411,C,ns,s043       ,yes for a,0,no,no,no,no,no,o,hc
412,411,str412,C,ns,s036       ,for predicted change?,0,no,no,no,no,no,o,na
413,412,str413,C,ns,s029       ,wouldn't that be the same for B?,0,no,no,no,reas,tr,k2,he
414,413,str414,C,ns,s036       ,i need help! ;(,0,no,no,no,no,no,k2,m
415,414,str415,C,ns,s043       ,i think the water will be obsorbed,0,no,no,no,reas,tr,k1,he
416,415,str416,C,ns,s043       ,for part b,0,no,no,no,no,no,o,m
417,416,str417,C,ns,s029       ,i think the glucose will dissolve,0,no,no,no,reas,ex,k1,he
418,417,str418,C,ns,s043       ,there is more gluecose than water outside than inside so the water will come out,0,no,no,no,no,no,k1,m
419,418,str419,C,ns,Tutor,Is everyone back?,0,no,no,no,reas,tr,k2,na
420,419,str420,C,ns,s036       ,ok can someone help me please!,0,no,no,no,no,no,a2,he
421,420,str421,C,ns,s029       ,how do you know there's more glucose than water outside than inside?,0,no,no,at,no,no,k2,na
422,421,str422,C,ns,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,m
423,422,str423,C,ns,s043       ,becasue the tube of water is siting inside the container of gluecose,0,no,no,no,reas,tr,k1,m
424,423,str424,C,ns,Tutor,"S036, can you put what S043 said in your own words?",0,no,no,at,no,no,a2,he
425,424,str425,C,ns,s029       ,"wait what're we writing for the explanation for each prediction? so far i just have ""water will mix with glucose to try to balance out the water molecules"" for the predicted change for A",0,no,no,no,no,no,k2,he
426,425,str426,C,ns,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
427,426,str427,C,ns,Tutor,Lets spend the rest of the time we have discussing your observations from all the three conditions.,0,no,no,no,no,no,a1,he
428,427,str428,C,ns,Tutor,Discuss explanations of what you observed in each condition and make sure you fill in your explanations on your worksheets.,0,no,no,no,no,no,a2,hc
429,428,str429,C,ns,s036       ,for A what did we get for the explanation for prediction.. since i need alot of help!,0,no,no,no,no,no,k2,na
430,429,str430,C,ns,s036       ,wait {s029} did you watch the video already?,0,no,no,no,no,no,k2,na
431,430,str431,C,ns,s043       ,yea dats right for b i jus said the water will b obsorbed because there is more gluecose and the water will travel from a low water level to attempt to go to a higher source of water,0,no,no,no,no,no,k1,he
432,431,str432,C,ns,Tutor,"S036, can you put what S043 said in your own words?",0,no,no,at,no,no,a2,he
433,432,str433,C,ns,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,na
434,433,str434,C,ns,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,na
435,434,str435,C,ns,s043       ,is everybody redy for the video?????,0,no,no,no,no,no,k2,na
436,435,str436,C,ns,s036       ,no no no ! i need the A & C prediction.....,0,no,post,no,no,no,k1,hc
437,436,str437,C,ns,s043       ,a-the water will go into the tube because of osmosis,0,no,post,no,no,no,k1,m
438,437,str438,C,ns,s043       ,c-the water will go into the starch,0,no,post,no,no,no,k1,m
439,438,str439,C,ns,s036       ,okayy thankyouu :) now we watch the video?,0,no,no,no,no,no,k2,he
440,439,str440,C,ns,s029       ,what's the predicted change for B?,0,no,post,no,no,no,k2,na
441,440,str441,C,ns,s029       ,noooo!!! i need B and the Explanation for Prediction of each one,0,no,post,no,no,no,k1,he
442,441,str442,C,ns,s043       ,b-i think the water will be obsorbed,0,no,post,no,no,no,k1,he
443,442,str443,C,ns,s036       ,b- water will obsorbed bc there is more gluecose/ the water travel low water level to a higher source? ritght?,0,no,post,no,no,no,k2,he
444,443,str444,C,ns,s029       ,"wait, would osmosis be the explanation for A?",0,no,post,no,no,no,k2,he
445,444,str445,C,ns,s036       ,"yeah the A ""the water will go into the tube bc of osmois""",0,no,post,no,reas,tr,k1,m
446,445,str446,C,ns,s036       ,idk this is wat she was sayn,0,no,post,no,no,no,k1,he
447,446,str447,C,ns,s029       ,"so we're writing ""Osmosis"" in the box for Explanation?!",0,no,post,no,no,no,k2,he
448,447,str448,C,ns,s036       ,but she is watching the video we are soo lost :(,0,no,no,no,no,no,k1,m
449,448,str449,C,ns,s029       ,hahahh oh dear,0,no,no,no,no,no,o,na
450,449,str450,C,ns,s036       ,i put for A the explantation prediction of what i said about A lol!,0,no,no,no,no,no,k1,he
451,450,str451,C,ns,s029       ,i only watched a couple seconds of the video so far,0,no,no,no,no,no,k1,m
452,451,str452,C,ns,s036       ,WHERE IS THE VIDEO!?,0,no,no,no,no,no,k2,na
453,452,str453,C,ns,s029       ,"at the bottom, next to start it says ""combined video""",0,no,no,no,no,no,k1,m
454,453,str454,C,ns,s036       ,i hate psp :'( idk wats goin on,0,no,no,no,no,no,k2,na
455,454,str455,C,ns,s029       ,"for the explantion for C i put ""stach absorbs liquid and water is a liquid""",0,no,post,no,reas,ex,k1,he
456,455,str456,C,ns,s036       ,"yea i put like the same thing "" water will go into the strarch""",0,no,post,no,reas,tr,k1,he
457,456,str457,C,ns,s036       ,well im going to watch the video lol,0,no,no,no,no,no,a1,m
458,457,str458,C,ns,s029       ,me too!,0,no,no,no,no,no,a1,m
459,-1,str459,C,ns,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,a2,m
460,459,str460,C,ns,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,he
461,460,str461,C,ns,Tutor,"s044,s030,s037... i didn't get your names yet.",0,no,no,no,no,no,k1,m
462,461,str462,C,ns,Tutor,"Hi S044 you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
463,462,str463,C,ns,Tutor,"S030, you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
464,463,str464,C,ns,Tutor,"Ok... So the Explainer is S037. When you see a place where it would be good to get more explanation, you can encourage one of your team mates to do that, for example, by inviting that person to add on to what the other student has already said.",0,no,no,no,no,no,a2,he
465,464,str465,C,ns,Tutor,"You should probably all mark an X opposite your role in the book, so you won't forget.",0,no,no,no,no,no,a2,he
466,465,str466,C,ns,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for.,0,no,no,no,no,no,a2,he
467,466,str467,C,ns,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
468,467,str468,C,ns,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
469,468,str469,C,ns,s037       ,this is {s037},0,pre,no,no,no,no,k1,m
470,469,str470,C,ns,s044       ,ur mom,0,pre,no,no,no,no,o,na
471,470,str471,C,ns,s044       ,hi {s036[sic]},0,pre,no,no,no,no,o,na
472,471,str472,C,ns,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,pre,no,no,reas,ex,k1,m
473,472,str473,C,ns,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
474,473,str474,C,ns,s044       ,im watching you,0,no,no,no,no,no,a1,na
475,474,str475,C,ns,s037       ,haha..were gona fail,0,pre,no,no,no,no,o,na
476,475,str476,C,ns,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,pre,no,no,no,no,a2,m
477,476,str477,C,ns,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,k1,m
478,477,str478,C,ns,Tutor,"As you watch the video, write down your observations on your worksheet.",0,no,no,no,no,no,a2,m
479,478,str479,C,ns,Tutor,"Go to the Videos folder on the Desktop, and watch the video which is there.",0,no,no,no,no,no,a2,m
480,479,str480,C,ns,s037       ,what do we do,0,no,no,no,no,no,k2,na
481,480,str481,C,ns,s030       ,write your preditions,0,no,no,no,no,no,a2,m
482,481,str482,C,ns,Tutor,"Say ""Yes"" to let me know you are back from watching the video.",0,pre,no,no,no,no,a2,m
483,482,str483,C,ns,Tutor,Now discuss what you observed in the video about conditions A and B. Compare what you observed to your predictions.,0,no,no,no,no,no,a2,m
484,483,str484,C,ns,s037       ,did you guys get it,0,no,no,no,no,no,k2,na
485,484,str485,C,ns,s044       ,i got it,0,no,no,no,no,no,k1,he
486,485,str486,C,ns,s044       ,wat did u observe for 5hrs condition c,0,no,no,no,no,no,k2,na
487,486,str487,C,ns,Tutor,You should now move on to discussing what you observed in the video about condition C. Compare what you observed to your predictions. How is this different from what happened in condition A?,0,no,no,no,no,no,a2,he
488,487,str488,C,ns,Tutor,"Ok, I gotta go.",0,no,no,no,no,no,o,na
489,488,str489,C,ns,Tutor,It was nice talking to you all. :-),0,no,no,no,no,no,o,na
490,489,str490,C,ns,s044       ,i love you,0,no,no,no,no,no,o,na
491,490,str491,C,ns,s044       ,i hate {s036},0,post,no,no,no,no,o,na
492,491,str492,C,ns,s037       ,condition gained waight',0,no,post,no,no,no,k1,m
493,492,str493,C,ns,s037       ,lost waight',0,no,post,no,no,no,k1,m
